System,Type,Target_cm^-1,Pair_Density,Min_Distance
Fe II (NIST),atomic,3.14070351758794,3.254465670628752e-05,0.0017035175923636459
Fe II (NIST),atomic,3.1658291457286434,3.16925782520894e-05,0.01582914571991223
Fe II (NIST),atomic,3.190954773869347,3.055114192845897e-05,0.021045226130187444
Fe II (NIST),atomic,3.2160804020100504,2.9300151180844943e-05,0.0019195979979822475
Fe II (NIST),atomic,3.241206030150754,2.8128437988545008e-05,0.020793969851690797
Fe II (NIST),atomic,3.2663316582914574,2.7205994832373772e-05,0.003331658285171013
Fe II (NIST),atomic,3.291457286432161,2.6664303282912565e-05,0.0034572864316952945
Fe II (NIST),atomic,3.3165829145728645,2.6585059968654005e-05,0.0185829145776375
Fe II (NIST),atomic,3.341708542713568,2.6996788411070875e-05,0.043708542718341015
Fe II (NIST),atomic,3.3668341708542715,2.787932809409431e-05,0.026165829142119623
Fe II (NIST),atomic,3.391959798994975,2.9175329605716084e-05,0.0010402010014161078
Fe II (NIST),atomic,3.4170854271356785,3.080531889981771e-05,0.00208542712752946
Fe II (NIST),atomic,3.442211055276382,3.2681070559410556e-05,0.00921105527184185
Fe II (NIST),atomic,3.4673366834170856,3.4713366868692866e-05,0.034336683412545366
Fe II (NIST),atomic,3.492462311557789,3.6814052371972194e-05,0.032537688436390155
Fe II (NIST),atomic,3.5175879396984926,3.8895171325722875e-05,0.00741206029568664
Fe II (NIST),atomic,3.542713567839196,4.086731170196182e-05,0.006713567831861944
Fe II (NIST),atomic,3.5678391959798996,4.263647904461848e-05,0.003839195981413024
Fe II (NIST),atomic,3.592964824120603,4.409816990774995e-05,0.007964824128752213
Fe II (NIST),atomic,3.6180904522613067,4.513127910675939e-05,0.00109045226293647
Fe II (NIST),atomic,3.64321608040201,4.560019335172989e-05,0.011216080404222062
Fe II (NIST),atomic,3.6683417085427137,4.537441634356411e-05,0.013658291457984806
Fe II (NIST),atomic,3.693467336683417,4.4367232998002704e-05,0.0015326633090158026
Fe II (NIST),atomic,3.7185929648241207,4.258134296703997e-05,0.0015929648199297652
Fe II (NIST),atomic,3.7437185929648242,4.013919464162269e-05,0.015718592962030264
Fe II (NIST),atomic,3.7688442211055277,3.727740026619519e-05,0.010155778889466394
Fe II (NIST),atomic,3.7939698492462313,3.429919815963711e-05,0.004969849241923896
Fe II (NIST),atomic,3.819095477386935,3.149891201484195e-05,0.0050954773884481774
Fe II (NIST),atomic,3.8442211055276383,2.9086657362354396e-05,0.0032211055272890476
Fe II (NIST),atomic,3.869346733668342,2.714268313322082e-05,0.00034673366228821223
Fe II (NIST),atomic,3.8944723618090453,2.5618756563202245e-05,0.0054723618134691066
Fe II (NIST),atomic,3.919597989949749,2.4385182634696487e-05,0.017597989947886195
Fe II (NIST),atomic,3.9447236180904524,2.33045901950022e-05,0.007276381914320673
Fe II (NIST),atomic,3.969849246231156,2.2303816101182658e-05,0.0008492462338334228
Fe II (NIST),atomic,3.9949748743718594,2.1415946933409524e-05,0.002625125630562053
Fe II (NIST),atomic,4.020100502512563,2.0775379912793604e-05,0.004100502509303716
Fe II (NIST),atomic,4.045226130653266,2.056628507635267e-05,0.029226130650006787
Fe II (NIST),atomic,4.07035175879397,2.0943291340685435e-05,0.038648241202769995
Fe II (NIST),atomic,4.0954773869346734,2.195555804631576e-05,0.013522613062066924
Fe II (NIST),atomic,4.120603015075377,2.350584301232777e-05,0.011603015078637036
Fe II (NIST),atomic,4.1457286432160805,2.536315247134326e-05,0.025271356771463083
Fe II (NIST),atomic,4.170854271356784,2.7225458053513682e-05,0.00014572863075912323
Fe II (NIST),atomic,4.1959798994974875,2.8807212062890208e-05,0.0020201005064706123
Fe II (NIST),atomic,4.2211055276381915,2.9915433996996704e-05,0.003105527630158811
Fe II (NIST),atomic,4.2462311557788945,3.0484023339391334e-05,0.009231155777905009
Fe II (NIST),atomic,4.2713567839195985,3.0556418811710827e-05,0.02064321608168207
Fe II (NIST),atomic,4.296482412060302,3.0231601234991497e-05,0.0044824120590210015
Fe II (NIST),atomic,4.3216080402010055,2.9604803658635503e-05,0.0083919598007407
Fe II (NIST),atomic,4.346733668341709,2.8733744056243793e-05,0.005733668341359355
Fe II (NIST),atomic,4.371859296482413,2.764475902433081e-05,0.0018592964725172578
Fe II (NIST),atomic,4.396984924623116,2.6370642938913538e-05,0.002015075381773812
Fe II (NIST),atomic,4.42211055276382,2.499578497149628e-05,0.013110552764168837
Fe II (NIST),atomic,4.447236180904523,2.368219068195505e-05,0.007763819097223568
Fe II (NIST),atomic,4.472361809045227,2.2661268616191724e-05,0.017361809043480392
Fe II (NIST),atomic,4.49748743718593,2.219281365758438e-05,0.00751256281872692
Fe II (NIST),atomic,4.522613065326634,2.2505122283721213e-05,0.01761306532197704
Fe II (NIST),atomic,4.547738693467337,2.3733966640528558e-05,0.015261306527308172
Fe II (NIST),atomic,4.572864321608041,2.5875125524908083e-05,0.0038643216048974693
Fe II (NIST),atomic,4.597989949748744,2.8760670606155698e-05,1.0050249393600552e-05
Fe II (NIST),atomic,4.623115577889448,3.206667923718762e-05,0.013115577888865637
Fe II (NIST),atomic,4.648241206030151,3.53579136941127e-05,0.004758793975553566
Fe II (NIST),atomic,4.673366834170855,3.816860358223089e-05,0.00436683417644268
Fe II (NIST),atomic,4.698492462311558,4.0105608923216005e-05,0.009507537687161616
Fe II (NIST),atomic,4.723618090452262,4.094554848558608e-05,0.003381909546690487
Fe II (NIST),atomic,4.748743718592965,4.069094820928305e-05,0.0007437185860963424
Fe II (NIST),atomic,4.773869346733669,3.956031553196601e-05,0.005869346737277681
Fe II (NIST),atomic,4.798994974874372,3.791214161004453e-05,0.030994974877980752
Fe II (NIST),atomic,4.824120603015076,3.6131270291465835e-05,0.030879396980849627
Fe II (NIST),atomic,4.849246231155779,3.4522049674619906e-05,0.005753768840146556
Fe II (NIST),atomic,4.874371859296483,3.324701930516007e-05,0.005371859290429271
Fe II (NIST),atomic,4.899497487437186,3.232627851534727e-05,0.003497487443821612
Fe II (NIST),atomic,4.92462311557789,3.16850126091541e-05,0.0016231155826629262
Fe II (NIST),atomic,4.949748743718593,3.121964085441087e-05,0.011251256291651579
Fe II (NIST),atomic,4.974874371859297,3.085325977168097e-05,0.007125628144311946
Fe II (NIST),atomic,5.0,3.0564298759746333e-05,0.0060000000084983185
N I (NIST),atomic,0.0,0.0002472575332996073,0.00999999999476131
N I (NIST),atomic,0.02512562814070352,0.00029198163316830584,0.015125628145942208
N I (NIST),atomic,0.05025125628140704,0.00032723709411528726,0.0002512562784966546
N I (NIST),atomic,0.07537688442211056,0.0003481773034965302,0.004623115565083755
N I (NIST),atomic,0.10050251256281408,0.00035193343533514865,0.0005025125569933092
N I (NIST),atomic,0.1256281407035176,0.0003384014698267809,0.015628140702935528
N I (NIST),atomic,0.15075376884422112,0.0003103540767674843,0.0007537688354899708
N I (NIST),atomic,0.17587939698492464,0.00027283186641439863,0.024120603026716897
N I (NIST),atomic,0.20100502512562815,0.00023201283015473548,0.0010050251139866184
N I (NIST),atomic,0.22613065326633167,0.00019391063218045725,0.026130653254690134
N I (NIST),atomic,0.2512562814070352,0.00016325781167700524,0.05125628139539368
N I (NIST),atomic,0.2763819095477387,0.00014281292171275316,0.07638190953609719
N I (NIST),atomic,0.30150753768844224,0.00013316659660096076,0.05749246230829813
N I (NIST),atomic,0.32663316582914576,0.00013298541582381385,0.032366834167594616
N I (NIST),atomic,0.35175879396984927,0.0001395597248128864,0.0072412060268911005
N I (NIST),atomic,0.3768844221105528,0.00014950438120446937,0.009115577891688209
N I (NIST),atomic,0.4020100502512563,0.00015947222822573927,0.016010050249015306
N I (NIST),atomic,0.4271356783919598,0.0001667593317470617,0.002864321601055264
N I (NIST),atomic,0.45226130653266333,0.00016970782900092168,0.0032613065394154206
N I (NIST),atomic,0.47738693467336685,0.0001678554558189667,0.007613065327215229
N I (NIST),atomic,0.5025125628140704,0.00016184123735157605,0.0024874371905861947
N I (NIST),atomic,0.5276381909547739,0.00015313710625041154,0.02263819095011732
N I (NIST),atomic,0.5527638190954774,0.0001437069128624365,0.0472361808957914
N I (NIST),atomic,0.577889447236181,0.00013567836883965296,0.022110552755087887
N I (NIST),atomic,0.6030150753768845,0.00013105900933650194,0.0030150753710637135
N I (NIST),atomic,0.628140703517588,0.0001314718659954191,0.02814070351176723
N I (NIST),atomic,0.6532663316582915,0.0001378736183385797,0.053266331652470744
N I (NIST),atomic,0.678391959798995,0.00015026448438946872,0.055608040197745345
N I (NIST),atomic,0.7035175879396985,0.00016747753450118395,0.03048241205704183
N I (NIST),atomic,0.7286432160804021,0.00018718624381287166,0.005356783916338315
N I (NIST),atomic,0.7537688442211056,0.00020624030307836357,0.0197688442243652
N I (NIST),atomic,0.7788944723618091,0.00022132396814921143,0.003894472353077938
N I (NIST),atomic,0.8040201005025126,0.00022977907401084384,0.004020100499602219
N I (NIST),atomic,0.8291457286432161,0.000230328394218127,0.0051457286499682064
N I (NIST),atomic,0.8542713567839196,0.00022343906535592125,0.007728643224345855
N I (NIST),atomic,0.8793969849246231,0.0002111872401272906,0.01739698491635766
N I (NIST),atomic,0.9045226130653267,0.00019666784043203755,0.019477386933742014
N I (NIST),atomic,0.9296482412060302,0.0001831515067386938,0.005648241206961502
N I (NIST),atomic,0.9547738693467337,0.00017325849704094998,0.030773869347665017
