System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
Fe I (NIST),atomic,0.0406158598837698,4.912857652371465e-05,0.0033333333333333335,0.0033333333333333335,3.121891290849112e-06,3.800517129739654e-05
Fe I (NIST),atomic,0.06061898993497572,0.00010014036786985659,0.013333333333333334,0.013333333333333334,4.764581778784558e-06,7.455073832251568e-05
Fe I (NIST),atomic,0.09047357242349294,0.00016034989927214577,0.02666666666666667,0.02666666666666667,6.097187772646095e-06,0.00011726767723625748
Fe I (NIST),atomic,0.13503140378698722,0.0002175358614422318,0.043333333333333335,0.043333333333333335,7.823136402624568e-06,0.00015570733094519813
Fe I (NIST),atomic,0.20153376859417332,0.0002749379778963049,0.06,0.06,1.1070784310988159e-05,0.00019116310869705347
Fe I (NIST),atomic,0.3007882518043099,0.0003421808355300665,0.07,0.07,1.4439172035717337e-05,0.00022952908115792981
Fe I (NIST),atomic,0.4489251258218603,0.0004323919964604898,0.08333333333333333,0.08333333333333333,2.0702843167191468e-05,0.00027959714822731706
Fe I (NIST),atomic,0.670018750350959,0.0005655480126500527,0.10333333333333333,0.10666666666666667,2.9402866835165632e-05,0.0003407917372837508
Fe I (NIST),atomic,1.0,0.0007531963993941305,0.12333333333333334,0.14666666666666667,4.4449848631980905e-05,0.0004186315951961813
Fe II (NIST),atomic,0.0001,0.0,0.0,0.0,1.159176231917056e-25,0.0
Fe II (NIST),atomic,0.0001492495545051829,6.047367154467616e-184,0.0,0.0,7.876020679440675e-09,6.047367154467615e-184
Fe II (NIST),atomic,0.00022275429519995563,3.9490873197176726e-86,0.0,0.0,3.156411258038813e-13,3.9490873197176726e-86
Fe II (NIST),atomic,0.00033245979322709415,3.221637514013287e-42,0.0,0.0,1.730855277390286e-08,3.221637514013287e-42
Fe II (NIST),atomic,0.0004961947603002903,1.6637505880960962e-22,0.0,0.0,2.270175692749155e-08,1.6637505880960962e-22
Fe II (NIST),atomic,0.0007405684692262435,1.1769402395853887e-13,0.0,0.0,5.934448632194077e-09,1.1769402395853887e-13
Fe II (NIST),atomic,0.0011052951411260222,1.1055844437767989e-09,0.0,0.0,3.9107047246939306e-08,1.1064987543859166e-09
Fe II (NIST),atomic,0.0016496480740980208,6.715811491826863e-08,0.0,0.0,4.189903622450452e-08,6.715811491826863e-08
Fe II (NIST),atomic,0.0024620924014946257,4.243844120763885e-07,0.0,0.0,7.867778163845975e-08,4.2438441207638846e-07
Fe II (NIST),atomic,0.003674661940736688,9.714900858544981e-07,0.0,0.0,1.1455249495117876e-07,9.714900858716838e-07
Fe II (NIST),atomic,0.005484416576121015,1.4828816722181972e-06,0.0,0.0,2.0008007078438675e-07,1.482881672319664e-06
Fe II (NIST),atomic,0.008185467307069028,2.4700877147015753e-06,0.0,0.0,3.9035227305863086e-07,2.7295479460854478e-06
Fe II (NIST),atomic,0.012216773489967919,4.7275270466219535e-06,0.0,0.0,4.664583750461419e-07,5.143939883619783e-06
Fe II (NIST),atomic,0.018233480008684404,8.308293794302362e-06,0.006666666666666667,0.006666666666666667,6.67847777435808e-07,8.961528763681772e-06
Fe II (NIST),atomic,0.027213387683753087,1.3259932969114814e-05,0.006666666666666667,0.006666666666666667,1.0965362267298221e-06,1.3448089169318111e-05
Fe II (NIST),atomic,0.0406158598837698,2.4923546173287995e-05,0.006666666666666667,0.006666666666666667,1.5398073821937672e-06,2.5009897601081086e-05
Fe II (NIST),atomic,0.06061898993497572,4.769814456082395e-05,0.006666666666666667,0.006666666666666667,2.515182494290774e-06,4.522318522608355e-05
Fe II (NIST),atomic,0.09047357242349294,7.193752593449506e-05,0.016666666666666666,0.02,2.8306896060508504e-06,6.61998330971717e-05
