System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
Fe II (NIST),atomic,0.005179474679231213,1.4027811572370533e-06,0.0,0.0,2.0695950690247523e-07,1.402933647247543e-06
Fe II (NIST),atomic,0.0062505519252739694,1.7053311961842158e-06,0.0,0.0,2.167486632148714e-07,1.7053312969475976e-06
Fe II (NIST),atomic,0.007543120063354615,2.1833818379019577e-06,0.0,0.0,2.541894133146875e-07,2.6875448954601803e-06
Fe II (NIST),atomic,0.009102981779915217,2.926750934336983e-06,0.0,0.0,3.8153038690106235e-07,3.1061129269734334e-06
Fe II (NIST),atomic,0.010985411419875584,3.9857100599361145e-06,0.0,0.0,5.200197450479208e-07,4.505099831488701e-06
Fe II (NIST),atomic,0.013257113655901081,5.364323247566003e-06,0.0,0.0,5.247975266443842e-07,5.651469005086318e-06
Fe II (NIST),atomic,0.015998587196060572,7.0209387536263735e-06,0.006666666666666667,0.006666666666666667,5.929758125900234e-07,7.248887690835372e-06
Fe II (NIST),atomic,0.019306977288832496,8.903453403812632e-06,0.006666666666666667,0.006666666666666667,8.731735797340125e-07,9.211098831070684e-06
Fe II (NIST),atomic,0.023299518105153717,1.1042292989550117e-05,0.006666666666666667,0.006666666666666667,9.085802669312244e-07,1.1422158048650854e-05
Fe II (NIST),atomic,0.02811768697974228,1.3827185853599593e-05,0.006666666666666667,0.006666666666666667,1.0764616889924123e-06,1.5140268186500067e-05
Fe II (NIST),atomic,0.033932217718953266,1.8235555142818224e-05,0.006666666666666667,0.006666666666666667,1.160911851825632e-06,1.8544818812109553e-05
Fe II (NIST),atomic,0.040949150623804234,2.529126010023814e-05,0.006666666666666667,0.006666666666666667,1.5900680892938603e-06,2.5539017030086973e-05
Fe II (NIST),atomic,0.04941713361323833,3.509896739856748e-05,0.006666666666666667,0.006666666666666667,1.919916910438241e-06,3.401886669997002e-05
Fe II (NIST),atomic,0.05963623316594643,4.6657881739428715e-05,0.006666666666666667,0.006666666666666667,2.1302230462271928e-06,4.437015381560553e-05
Fe II (NIST),atomic,0.07196856730011514,5.854489260075099e-05,0.006666666666666667,0.006666666666666667,2.5549373214416574e-06,5.550404365834439e-05
Fe II (NIST),atomic,0.08685113737513521,6.967155200655032e-05,0.016666666666666666,0.02,2.8571085321507216e-06,6.577914421077053e-05
Fe II (NIST),atomic,0.10481131341546852,7.964924658374378e-05,0.02666666666666667,0.03333333333333333,3.182043417681882e-06,7.399511755304817e-05
Fe II (NIST),atomic,0.12648552168552957,8.875655821722826e-05,0.02666666666666667,0.03333333333333333,3.546894250432508e-06,7.987913386020967e-05
Fe II (NIST),atomic,0.15264179671752318,9.761781458462792e-05,0.03,0.03666666666666667,4.231206626999122e-06,9.151362116116123e-05
Fe II (NIST),atomic,0.18420699693267145,0.00010680229329508833,0.03,0.03666666666666667,4.548546108075529e-06,9.501325850632233e-05
Fe II (NIST),atomic,0.22229964825261933,0.0001165824192435494,0.03,0.03666666666666667,5.460461243069927e-06,0.00010345602066855371
Fe II (NIST),atomic,0.2682695795279725,0.0001268881180186121,0.03,0.03666666666666667,6.530380917719354e-06,0.00011017766013012957
Fe II (NIST),atomic,0.32374575428176433,0.0001374528417447409,0.03333333333333333,0.04,7.926275863894755e-06,0.00011735581680433211
Fe II (NIST),atomic,0.3906939937054613,0.00014816081320995683,0.03333333333333333,0.04,8.949233420593357e-06,0.00012459251245284812
Fe II (NIST),atomic,0.47148663634573895,0.00015934291111932314,0.04,0.04666666666666667,1.0099336302500152e-05,0.0001314512048451836
Fe II (NIST),atomic,0.5689866029018293,0.00017184770867362554,0.04666666666666667,0.05333333333333334,1.2509550625584379e-05,0.000140434422026904
Fe II (NIST),atomic,0.6866488450042998,0.00018702655536666278,0.04666666666666667,0.05333333333333334,1.4434320925128817e-05,0.0001499157938712421
Fe II (NIST),atomic,0.8286427728546842,0.00020650969502936271,0.04666666666666667,0.05333333333333334,1.800716074851134e-05,0.00015898801430008172
Fe II (NIST),atomic,1.0,0.00023170049582380128,0.04666666666666667,0.05333333333333334,2.1024818884176865e-05,0.00017703829599109786
N I (NIST),atomic,0.0001,0.0,0.0,0.0,7.57872676021304e-09,0.0
N I (NIST),atomic,0.00012067926406393288,3.125262036977527e-276,0.0,0.0,2.0962532104494107e-10,3.125262036977527e-276
N I (NIST),atomic,0.00014563484775012445,3.688779210173192e-191,0.0,0.0,2.0509416115110986e-16,3.688779210173192e-191
N I (NIST),atomic,0.00017575106248547912,9.582318713772993e-133,0.0,0.0,3.8056913124278456e-11,2.0821040258996972e-17
N I (NIST),atomic,0.00021209508879201905,1.2353213830905874e-92,0.0,0.0,4.766124617466165e-09,1.2353213830905874e-92
N I (NIST),atomic,0.0002559547922699536,4.300089997630274e-65,0.0,0.0,3.3488090216058764e-09,4.3000899976302734e-65
N I (NIST),atomic,0.00030888435964774815,3.507134181265393e-46,0.0,0.0,4.704865724163346e-09,3.507134181265393e-46
N I (NIST),atomic,0.0003727593720314938,3.392303779489638e-33,0.0,0.0,1.1170672968986204e-08,1.248778952817034e-08
N I (NIST),atomic,0.0004498432668969444,2.7989967580802673e-24,0.0,0.0,2.2739464274369686e-08,2.7989967580802677e-24
N I (NIST),atomic,0.0005428675439323859,3.7111805304315045e-18,0.0,0.0,2.077796197404994e-08,3.711180530433952e-18
N I (NIST),atomic,0.0006551285568595509,5.936442826323961e-14,0.0,0.0,6.832474083222217e-09,5.936442826323961e-14
N I (NIST),atomic,0.0007906043210907702,4.573078548322622e-11,0.0,0.0,1.6627559171094203e-08,4.5730816300081234e-11
N I (NIST),atomic,0.0009540954763499944,4.389134640383541e-09,0.0,0.0,3.0840940616545137e-08,4.3891929249518195e-09
N I (NIST),atomic,0.0011513953993264468,1.0088048401778973e-07,0.0,0.0,7.16280551881245e-08,1.0088048401778971e-07
N I (NIST),atomic,0.0013894954943731374,8.716832503666715e-07,0.0,0.0,7.057982962280007e-08,8.716832503666716e-07
N I (NIST),atomic,0.0016768329368110067,3.868809562176526e-06,0.0,0.0,8.421339475323795e-08,3.8688095621765275e-06
N I (NIST),atomic,0.0020235896477251557,1.0917262084583395e-05,0.0,0.0,1.0540356144721739e-07,1.0917262084648204e-05
N I (NIST),atomic,0.0024420530945486497,2.260781075937967e-05,0.0,0.0,5.39862537592309e-08,2.2607810759379685e-05
N I (NIST),atomic,0.0029470517025518097,3.7876900961212063e-05,0.0,0.0,1.381593912661216e-07,3.7876903573077716e-05
N I (NIST),atomic,0.0035564803062231283,5.491900874680345e-05,0.0,0.0,1.1208867182708625e-07,5.492030027480211e-05
N I (NIST),atomic,0.004291934260128779,7.216744143772179e-05,0.03333333333333333,0.03333333333333333,1.7987276542540714e-07,7.218351490606074e-05
N I (NIST),atomic,0.005179474679231213,8.891276171399389e-05,0.03333333333333333,0.03333333333333333,1.712360921827024e-07,8.900354252671935e-05
N I (NIST),atomic,0.0062505519252739694,0.00010550498390925389,0.03333333333333333,0.03333333333333333,2.3828897709458864e-07,0.00010580302397557827
N I (NIST),atomic,0.007543120063354615,0.00012259642163710844,0.03333333333333333,0.03333333333333333,2.4447992784783993e-07,0.00012261923368440435
N I (NIST),atomic,0.009102981779915217,0.0001402309103242209,0.04,0.04,3.0464603903511264e-07,0.00014023091040451808
N I (NIST),atomic,0.010985411419875584,0.0001578373329893794,0.04,0.04,2.7778139488915205e-07,0.0001578684298485682
N I (NIST),atomic,0.013257113655901081,0.00017465789077095338,0.04,0.04,4.5253050043847693e-07,0.00017465882019695103
N I (NIST),atomic,0.015998587196060572,0.0001902390066383649,0.05333333333333334,0.05333333333333334,6.638142795729054e-07,0.00019296147871245773
N I (NIST),atomic,0.019306977288832496,0.00020493668220826638,0.05333333333333334,0.05333333333333334,6.743356026985374e-07,0.00020495253080511766
N I (NIST),atomic,0.023299518105153717,0.00021973841037530706,0.05333333333333334,0.05333333333333334,7.74076357660687e-07,0.00021973732619942976
N I (NIST),atomic,0.02811768697974228,0.00023545722006698455,0.06,0.06,1.0516052188361953e-06,0.00023560925689861999
N I (NIST),atomic,0.033932217718953266,0.0002524793045032637,0.06,0.06,1.3151452381818312e-06,0.0002525979533610692
N I (NIST),atomic,0.040949150623804234,0.0002708916522054193,0.06,0.06,1.5059123495524415e-06,0.00027422626643382333
N I (NIST),atomic,0.04941713361323833,0.0002902284495192601,0.06333333333333334,0.06333333333333334,1.8564890048095488e-06,0.00029659137247181475
N I (NIST),atomic,0.05963623316594643,0.0003093492917407705,0.07333333333333333,0.07666666666666666,2.021176920089748e-06,0.0003088641121999325
N I (NIST),atomic,0.07196856730011514,0.0003269351071697783,0.07333333333333333,0.07666666666666666,2.109337976970732e-06,0.00033483510060599724
N I (NIST),atomic,0.08685113737513521,0.0003422700159825527,0.08666666666666667,0.09333333333333334,2.7320697270723405e-06,0.0003492468659140765
N I (NIST),atomic,0.10481131341546852,0.0003559430863473548,0.09,0.09666666666666666,3.284291196904107e-06,0.0003512558593507199
N I (NIST),atomic,0.12648552168552957,0.0003700583402911223,0.09,0.09666666666666666,3.4692688912689193e-06,0.00037398935077665834
N I (NIST),atomic,0.15264179671752318,0.00038738615675267197,0.09,0.09666666666666666,4.0981436936973535e-06,0.00039485744697334183
N I (NIST),atomic,0.18420699693267145,0.0004098698244737517,0.09,0.09666666666666666,4.478374554779301e-06,0.0003994103062845064
N I (NIST),atomic,0.22229964825261933,0.0004382708248665341,0.09,0.09666666666666666,5.08811234729543e-06,0.0004324341134868937
